custID,initLoanAmt,CurrentBalance,InterestRate,PmtDueDate,DateOfNotice,AmtDue,LastPmtDate,HasMissedPmt,LoanAcctType,LoanAcctID
423-14-8894,5000,3579,0.15,10/27/2019,10/1/2019,95.83,8/20/2019,false,STL,1
423-56-7890,6000,3698,0.12,11/27/2019,11/1/2019,112,10/12/2019,true,STL,2
423-45-3245,8000,6149,0.08,10/27/2019,10/1/2019,144,9/16/2019,false,STL,3
345-87-9912,8000,2136,0.05,11/27/2019,11/1/2019,140,10/22/2019,false,STL,4
345-59-9870,9000,7216,0.12,11/27/2019,11/1/2019,168,10/26/2019,false,STL,5
436-78-9213,90000,44763,0.1,11/27/2019,11/1/2019,1650,10/9/2019,false,LTL,6
345-65-3425,100000,54712,0.05,10/27/2019,10/1/2019,1750,9/17/2019,false,LTL,7
345-81-2332,100000,65489,0.07,11/27/2019,11/1/2019,1783.33,9/27/2019,false,LTL,8
677-87-9013,120000,95464,0.09,11/27/2019,11/1/2019,2180,10/13/2019,true,LTL,9
235-44-5789,140000,80569,0.08,11/27/2019,11/1/2019,2520,10/27/2019,false,LTL,10
423-14-8894,10000,3579,0.15,10/27/2019,10/1/2019,82.32,8/20/2019,false,CCL,11
423-56-7890,10000,3698,0.12,11/27/2019,11/1/2019,82.84,10/12/2019,true,CCL,12
423-45-3245,10000,6149,0.08,10/27/2019,10/1/2019,132.82,9/16/2019,false,CCL,13
345-87-9912,10000,2136,0.05,11/27/2019,11/1/2019,44.86,10/22/2019,false,CCL,14
345-59-9870,10000,7216,0.12,11/27/2019,11/1/2019,161.64,10/26/2019,false,CCL,15
