custID,checkingAccID,acctBalance,dateOpened,isGold,BackupSavings,Overdrafts
423-45-3245,1,126.23,12/1/2002,false,true,3
345-65-3425,2,52.9,1/28/2003,false,true,1
423-14-8894,3,2200.11,11/5/2000,true,true,0
677-87-9013,4,1378.2,7/8/2008,true,true,2
345-59-9870,5,522.89,7/26/2017,false,true,0
423-56-7890,6,1896.44,9/12/2011,true,true,1
345-81-2332,7,7955,2/20/2001,true,true,0
345-87-9912,8,85.12,12/8/2002,false,true,1
423-16-8945,9,480.75,11/13/2011,false,true,0
235-44-5789,10,152.42,12/26/2002,false,true,4
436-78-9213,11,8779.55,12/29/2010,false,null,0
233-43-5656,12,1056.88,6/1/1998,true,null,0
435-67-8787,null,null,null,null,null,null
563-43-2913,null,null,null,null,null,null
345-67-9898,13,3299.33,8/19/2019,true,true,2
