custID,savingsAcctId,accountBalance,interest,dateOpened,isCD,cdCloseDate
423-45-3245,1-01,200.00,0.02200,12/01/2002,false,null
345-65-3425,2-01,100.00,0.02300,02/18/2004,false,null
345-65-3425,2-02-01,4000.00,0.03000,02/19/2017,true,02/19/2020
423-14-8894,3-01,875.54,0.02800,09/15/1998,false,null
677-87-9013,4-01,1200.82,0.02100,07/08/2008,false,null
345-59-9870,5-01,1500.00,0.02100,07/26/2017,false,null
345-59-9870,5-02-01,8000.00,0.03000,02/28/2017,true,02/28/2020
423-56-7890,6-01,1898.07,0.02100,01/12/2001,false,null
345-81-2332,7-01,5000.99,0.02000,06/30/2003,false,null
345-87-9912,8-01,125.54,0.02900,12/08/2002,false,null
423-16-8945,9-01,198.56,0.02800,11/01/2011,false,null
423-16-8945,9-02-01,1200.00,0.03000,12/14/2016,true,12/14/2019
235-44-5789,10-01,98.56,0.02900,12/01/2002,false,null
235-44-5789,10-02-01,1500.00,0.03000,10/19/2019,true,10/19/2023
345-67-9898,15-01,1700.00,0.02400,08/19/2019,false,null
111-11-1111,16-01,18331.11,0.01050,12/01/2019,false,null
111-11-1111,16-02-02,10000.00,0.03257,05/05/2005,true,12/01/2034
111-11-1111,16-02-02,25000.00,0.01008,05/05/2005,true,12/01/2049
