custID,transactionType,amount,transactionAccount,date,description
423-45-3245,W,23.62,C,04/03/2005,Check Debit
423-45-3245,W,15.67,C,08/17/2007,Check Debit
423-45-3245,W,23.62,C,04/03/2005,Check Debit
423-45-3245,W,15.67,C,08/17/2007,Check Debit
423-45-3245,W,23.62,C,04/03/2005,Check Debit
423-45-3245,W,15.67,C,08/17/2007,Check Debit
345-65-3425,W,9.56,C,02/19/2004,Check Debit
345-65-3425,W,14.69,C,03/01/2004,Check Debit
345-65-3425,W,9.56,C,02/19/2004,Check Debit
345-65-3425,W,14.69,C,03/01/2004,Check Debit
345-65-3425,W,9.56,C,02/19/2004,Check Debit
345-65-3425,W,14.69,C,03/01/2004,Check Debit
423-14-8894,W,486.96,C,11/08/2000,Check Debit
423-14-8894,W,23.86,C,05/02/2012,Check Debit
423-14-8894,W,486.96,C,11/08/2000,Check Debit
423-14-8894,W,23.86,C,05/02/2012,Check Debit
423-14-8894,W,486.96,C,11/08/2000,Check Debit
423-14-8894,W,23.86,C,05/02/2012,Check Debit
677-87-9013,W,29.30,C,07/09/2008,Check Debit
677-87-9013,W,51.96,C,07/10/2008,Check Debit
677-87-9013,W,29.30,C,07/09/2008,Check Debit
677-87-9013,W,51.96,C,07/10/2008,Check Debit
677-87-9013,W,29.30,C,07/09/2008,Check Debit
677-87-9013,W,51.96,C,07/10/2008,Check Debit
345-59-9870,W,76.86,C,07/28/2017,Check Debit
345-59-9870,W,58.96,C,10/10/2018,Check Debit
345-59-9870,W,124.38,C,08/25/2019,Check Debit
345-59-9870,W,76.86,C,07/28/2017,Check Debit
345-59-9870,W,58.96,C,10/10/2018,Check Debit
345-59-9870,W,124.38,C,08/25/2019,Check Debit
345-59-9870,W,76.86,C,07/28/2017,Check Debit
345-59-9870,W,58.96,C,10/10/2018,Check Debit
345-59-9870,W,124.38,C,08/25/2019,Check Debit
423-56-7890,W,53.85,C,11/19/2011,Check Debit
423-56-7890,W,28.53,C,04/03/2012,Check Debit
423-56-7890,W,15.87,C,07/01/2013,Check Debit
423-56-7890,W,64.15,C,05/05/2015,Check Debit
